maze,planner,failure,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,tree_size
corridor,astar,,,6,27,26.0,26.0,0.00018906593322753906,,True,540.0,
corridor,theta_star,,,1,3,19.362960130742056,19.362960130742056,0.0007710456848144531,,True,39.0938588862295,
corridor,rrt,,,38,57,27.385341764534367,27.385341764534367,0.007693767547607422,,True,1968.272596838006,
corridor,rrt_smooth,,,2,9,19.567671353013598,19.567671353013598,0.004862070083618164,46,True,117.55976803268435,
corridor,bangbang_rrt,,27,20,28,11.540708400470823,23.367409077789222,0.3523728847503662,,True,1127.0484327361694,377
open_field,astar,,,7,27,26.0,26.0,0.0002930164337158203,,True,630.0,
open_field,theta_star,,,1,3,18.612856801919357,18.612856801919357,0.0006592273712158203,,True,18.434948822922017,
open_field,rrt,,,25,45,21.56902315456874,21.56902315456874,0.0035490989685058594,,True,1398.702639535426,
open_field,rrt_smooth,,,1,9,18.770149631115828,18.770149631115828,0.004272937774658203,45,True,35.70884094366987,
open_field,bangbang_rrt,,26,20,27,10.39702778310333,22.36982438047095,0.3744778633117676,,True,1056.0298454116771,422
spiral,astar,,,6,44,43.0,43.0,0.00012803077697753906,,True,540.0,
spiral,theta_star,,,6,8,37.58850563521467,37.58850563521467,0.0009028911590576172,,True,260.53767779197443,
spiral,rrt,no_path,,0,0,inf,inf,0.05175280570983887,,False,0.0,
spiral,rrt_smooth,,,3,13,9.220149064379601,9.220149064379601,0.009113788604736328,22,True,140.6880960482425,
spiral,bangbang_rrt,no_path,,0,0,inf,inf,0.05496811866760254,,False,0.0,
narrow,astar,,,0,0,0,0,3.695487976074219e-05,,False,0.0,
narrow,theta_star,,,0,1,0.0,0.0,0.0001609325408935547,,True,0.0,
narrow,rrt,no_path,,0,0,inf,inf,0.022044897079467773,,False,0.0,
narrow,rrt_smooth,,,14,24,26.31230764368948,26.31230764368948,0.029211044311523438,62,True,694.3552254687937,
narrow,bangbang_rrt,no_path,,0,0,inf,inf,0.03624701499938965,,False,0.0,
