maze,planner,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,tree_size
small_maze,astar,,3,13,12.0,12.0,5.5789947509765625e-05,,True,270.0,
small_maze,theta_star,,4,6,10.242640687119286,10.242640687119286,0.0002231597900390625,,True,180.00000000000003,
small_maze,rrt,,17,29,13.51311785612679,13.51311785612679,0.005446910858154297,,True,748.2111194912354,
small_maze,rrt_smooth,,6,17,13.697940121173927,13.697940121173927,0.010627985000610352,34,True,306.41659328663206,
small_maze,bangbang_rrt,16,10,17,3.6529597040765474,10.45555274481148,2.968579053878784,,True,514.7598142640297,1330
corridor,astar,,7,27,26.0,26.0,0.00029087066650390625,,True,630.0,
corridor,theta_star,,1,3,19.362960130742056,19.362960130742056,0.0006449222564697266,,True,39.0938588862295,
corridor,rrt,,34,54,26.21632255769532,26.21632255769532,0.005539894104003906,,True,1731.0926699195884,
corridor,rrt_smooth,,1,9,20.213113370172035,20.213113370172035,0.006414890289306641,48,True,53.63716824140491,
corridor,bangbang_rrt,30,22,31,6.933424274453901,21.250757897620893,5.561849117279053,,True,901.1890206138555,2269
open_field,astar,,11,27,26.0,26.0,0.00021886825561523438,,True,990.0,
open_field,theta_star,,1,3,18.612856801919357,18.612856801919357,0.0006549358367919922,,True,18.434948822922017,
open_field,rrt,,26,44,21.46632190461871,21.46632190461871,0.0028150081634521484,,True,1330.2290052339454,
open_field,rrt_smooth,,2,13,18.752367292295208,18.752367292295208,0.0037429332733154297,48,True,110.16382273266055,
open_field,bangbang_rrt,31,25,32,6.534424553147849,20.42469869389209,5.851323127746582,,True,1141.4827376498938,2398
spiral,astar,,6,44,43.0,43.0,0.00013685226440429688,,True,540.0,
spiral,theta_star,,6,8,37.58850563521467,37.58850563521467,0.0009288787841796875,,True,260.53767779197443,
spiral,rrt,,28,41,19.677080790139218,19.677080790139218,0.09143686294555664,,True,1338.8333652178744,
spiral,rrt_smooth,,4,15,9.24358336390537,9.24358336390537,0.015687227249145508,21,True,134.86970356753397,
spiral,bangbang_rrt,58,44,59,12.955809678773479,41.94131489987627,2.158104181289673,,True,1770.1504956582553,962
narrow,astar,,9,28,27.0,27.0,0.0001690387725830078,,True,810.0,
narrow,theta_star,,4,6,21.240912633735487,21.240912633735487,0.0007181167602539062,,True,184.1849161251184,
narrow,rrt,,35,53,25.88693033029217,25.88693033029217,0.007887840270996094,,True,1717.8496938983183,
narrow,rrt_smooth,,6,21,22.333176403998667,22.333176403998667,0.015397071838378906,55,True,288.06598625391456,
narrow,bangbang_rrt,32,22,33,7.520136117323304,23.959401325525512,3.802520990371704,,True,1175.1132463985523,1684
